ア,a
カ,ka
ガ,ga
サ,sa
ザ,za
タ,ta
ダ,da
ナ,na
ハ,ha
バ,ba
パ,pa
マ,ma
ラ,ra
ヤ,ya
ワ,wa
イ,i
キ,ki
ギ,gi
シ,shi
ジ,ji
チ,chi
ヂ,ji
ニ,ni
ヒ,hi
ビ,bi
ピ,pi
ミ,mi
リ,ri
ウ,u
ク,ku
グ,gu
ス,su
ズ,zu
ツ,tsu
ヅ,zu
ヌ,nu
フ,fu
ブ,bu
プ,pu
ム,mu
ル,ru
ユ,yu
エ,e
ケ,ke
ゲ,ge
セ,se
ゼ,ze
テ,te
デ,de
ネ,ne
ヘ,he
ベ,be
ペ,pe
メ,me
レ,re
オ,o
コ,ko
ゴ,go
ソ,so
ゾ,zo
ト,to
ド,do
ノ,no
ホ,ho
ボ,bo
ポ,po
モ,mo
ロ,ro
ヨ,yo
ヲ,wo
ン,n
キャ,kya
キャ,sha
チャ,cha
ニャ,nya
ヒャ,hya
ミャ,mya
リャ,rya
キュ,kyu
シュ,shu
チュ,chu
ニュ,nyu
ヒュ,hyu
ミュ,myu
リュ,ryu
キョ,kyo
ショ,sho
チョ,cho
ニョ,nyo
ヒョ,hyo
ミョ,myo
リョ,ryo
ファ,fa
ウァ,wa
ヴァ,va
フィ,fi
ウイ,wi
ヴィ,vi
フェ,fe
ウェ,we
ヴェ,ve
フォ,fo
ウォ,wo
ォヴ,vox
